text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Just go live your life and your privilege ass tu. Kau nak suruh rakyat bersabar?? 2 years of pandemic already we going through this tapi kerajaan mangkuk ni apa je diorang achieved??? Setakat one moment of Free Covid-19 lepastu korang punca balik sebab prn sabah tu pe cite kmk??!	80486	Negative	27	2475	2022-01-28T04:45:28.354220Z	2022-01-28T04:45:28.354234Z	2.205
PEMULIH | Bakul Makanan Untuk 6,000 Penerima Di Pasir Gudang Keputusan Kerajaan menyalurkan peruntukkan RM300,000 https://t.co/1ODeo0dcPY	80485	Positive	27	2474	2022-01-28T04:45:25.514281Z	2022-01-28T04:45:25.514295Z	1.999
@Nasarulfikri Dia pernah nk masuk PKR tapi org PKR perak taknak katanya. Malu muka sendiri. Dah elok jd ketua pemud https://t.co/y4VWmSMdZu	80484	Negative	27	2473	2022-01-28T04:45:23.124157Z	2022-01-28T04:45:23.124170Z	2.555
tak rasa macam federal offence ke? dah layak tarik lesen operasi di Msia dah ni. oh lupa duit pasti menang, bayar s https://t.co/Xo0h2Ii6bN	80483	Negative	27	2472	2022-01-28T04:45:20.181797Z	2022-01-28T04:45:20.181812Z	2.761
"@anwaribrahim Mungkinkah ini ""self-confession"" bahawa ahli politik itu tdk boleh dipercayai atas sifat mereka :- https://t.co/3pkaHflTlo"	80482	Negative	27	2471	2022-01-28T04:45:17.017943Z	2022-01-28T04:45:17.017998Z	2.817
Memasuki Pekan Terakhir Warga dan TNI Solid Bersatu Kebut Pembangunan TPT https://t.co/94CV1kbTGA	80481	Neutral	27	2470	2022-01-28T04:45:13.803701Z	2022-01-28T04:45:13.803717Z	3.26
latar belakang kluster: KILANG kerajaan: tutup KLANG	80480	Negative	27	2469	2022-01-28T04:45:10.105343Z	2022-01-28T04:45:10.105357Z	3.136
"""Kerajaan melayu isley part 2"""	80479	Negative	27	2468	2022-01-28T04:45:06.578446Z	2022-01-28T04:45:06.578461Z	1.932
kerajaan yang tak bantu rakyat masalahnya.	80478	Negative	27	2467	2022-01-28T04:45:04.258410Z	2022-01-28T04:45:04.258422Z	1.915
He himself pun kalah 2 kali berturut2 under BN ticket dekat Lembah Pantai and he was also the minister at that time	80477	Negative	27	2466	2022-01-28T04:45:01.950428Z	2022-01-28T04:45:01.950442Z	1.056
@Khahakim154 @H_Bakkaniy Sekarang ni kerajaan Kedah tak bantu ke yang naikkan bendera putih tu?	80476	Negative	27	2465	2022-01-28T04:45:00.490097Z	2022-01-28T04:45:00.490111Z	2.247
@harakahdailyHD DAP ni masalah terbesar dia negeri perintah bukan baik sangat. Sg Kerek dgn masalah pencemaran babi https://t.co/1QECOLuvII	80475	Negative	27	2464	2022-01-28T04:44:57.870997Z	2022-01-28T04:44:57.871009Z	1.366
Pusat Vaksinasi COVID-19 di Putrajaya Presint 15 #Politik #NormaBaharu #PKP #SOP #Darurat #Menteri https://t.co/YhrLxSl02z	80474	Neutral	27	2463	2022-01-28T04:44:56.106613Z	2022-01-28T04:44:56.106628Z	2.02
Kritik keras Komnas HAM, Hendardi minta pegawai KPK hentikan manuver politik TWK KPK Profesional #MAsahkanTWKdiKPK https://t.co/W6dtAAVbd8	80473	Positive	27	2462	2022-01-28T04:44:53.678594Z	2022-01-28T04:44:53.678612Z	3.852
@ndiahamirah Pergi kk nnti doktor buat surat utk refer hosp kerajaan jugak. Nnti dkt hosp terus pergi klinik kulit https://t.co/pD92noF2m3	80472	Neutral	27	2461	2022-01-28T04:44:49.402734Z	2022-01-28T04:44:49.402749Z	6.077
@ChusnulCh__ @PDemokrat @AgusYudhoyono Gaya Politik PD itu Lempar Batu Sembunyi Tangan	80471	Negative	27	2460	2022-01-28T04:44:42.933496Z	2022-01-28T04:44:42.933509Z	3.22
Aku faham kalau diorang buat macam ni sebab kalau aku jadi doktor pun aku penat la kimak. Bodoh punya kerajaan !	80470	Negative	27	2459	2022-01-28T04:44:39.328478Z	2022-01-28T04:44:39.328493Z	2.204
Mmg fake, kan kerajaan selalu bagi last minute, ni awal sgt ni	80469	Negative	27	2458	2022-01-28T04:44:36.746912Z	2022-01-28T04:44:36.746923Z	1.246
Yihhh bangun bangun tengok kerajaan tunggang langgang.	80468	Negative	27	2457	2022-01-28T04:44:35.117323Z	2022-01-28T04:44:35.117341Z	1.333
Menurut pemimpin #Umno Sabah, tindakan keras terhadap pendatang tanpa izin harus dimulakan sehingga wabak Covid-19 https://t.co/dtWslJnyi4	80467	Negative	27	2456	2022-01-28T04:44:33.341685Z	2022-01-28T04:44:33.341709Z	23.843
Disebbkan vaccination case makin hari makin bagus tak semesti nya kerajaan boleh buat taik Memang sial kerajaan https://t.co/m3lCol8GXX	80466	Negative	27	2455	2022-01-28T04:44:09.100647Z	2022-01-28T04:44:09.100663Z	2.206
@bernamadotcom @IsmailSabri60 Mengarut jer, dia nie antara punca yg bgtaw ahli politik yg balik semenanjung selepas https://t.co/tKqlgcycnV	80465	Negative	27	2454	2022-01-28T04:44:06.489124Z	2022-01-28T04:44:06.489138Z	1.473
@shaqibshahril Bakal - nakal parti hijau lah kan.	80464	Negative	27	2453	2022-01-28T04:44:04.581756Z	2022-01-28T04:44:04.581769Z	2.522
Program-program bantuan kerajaan untuk PKS terus berjalan seperti biasa sepanjang Darurat. sumber : Jawatankuasa Teknikal Pengurusan Darurat #darurat2021 #JapenJohor #KomunikasiKita https://t.co/tQeoAl6uuK	80463	Positive	27	2452	2022-01-28T04:44:01.678207Z	2022-01-28T04:44:01.678227Z	1.428
KOTA KINABALU: Warga emas tertua di Sabah menerima suntikan vaksin COVID-19 di Pusat Pemberian Vaksin (PPV) Dewan Serbaguna Kompleks Pentadbiran Kerajaan Persekutuan Sabah, pada Selasa. https://t.co/IkfRNGK5Pc	80462	Positive	27	2451	2022-01-28T04:43:59.833667Z	2022-01-28T04:43:59.833680Z	1.845
@Sarayuni ok? memang kerajaan kedah tua,chih tu,gangga negara tak pernah wujud ke? memang semuanya pasal sej melayu negeri2 selatan je ke?	80461	Negative	27	2450	2022-01-28T04:43:57.612299Z	2022-01-28T04:43:57.612312Z	1.494
Sempena PKP. Manatau ada yang mencari kursus ICT yang ditaja sepenuhnya oleh Kerajaan Negeri Sabah (government-spon https://t.co/PBBXSZhlfH	80460	Positive	27	2449	2022-01-28T04:43:51.028424Z	2022-01-28T04:43:51.028438Z	3.591
@ph54r_ Tempat dia tu trbuka luas. Glove dia tak tukar. Dia pegang orang tu lps tu dia pegang orang ini pula. Mcm t https://t.co/aLkvd6OCpG	80459	Negative	27	2448	2022-01-28T04:43:47.015257Z	2022-01-28T04:43:47.015283Z	3.364
1- Tadi lihat ada yang kongsikan berita pemberian Telefon murah kepada Pelajar oleh Kerajaan Perak, antara gambar y https://t.co/qdRx1MsxFB	80458	Positive	27	2447	2022-01-28T04:43:43.257136Z	2022-01-28T04:43:43.257150Z	4.838
@amanat_hadi @mujahidrawa Geng Atok 5 + PN 54 + Sabah 10 + Swak 20 + BN 23 = 112	80457	Neutral	27	2446	2022-01-28T04:43:38.027222Z	2022-01-28T04:43:38.027235Z	2.286
jujur aku rasa terbeban sial dengan kerajaan bodoh ni. entah kenapa aku sendiri rasa sedih penat tengok politik mac https://t.co/QK6WX8QwuX	80456	Negative	27	2445	2022-01-28T04:43:35.333311Z	2022-01-28T04:43:35.333324Z	2.434
Dap kena ingat, tambak johor ni takde warganegara malaysia yang teringin/mampu nak duduk situ. Korang takde monarki tapi buat perangai monarki. Kimak.	80455	Negative	27	2444	2022-01-28T04:43:32.513555Z	2022-01-28T04:43:32.513570Z	1.115
Kerajaan bukan sengaja nak lambat bagi bantuan. Nak kena preorder khemah tampal muka dorang lagi. Poster lagi. Semu https://t.co/tDFuk5pHPX	80454	Negative	27	2443	2022-01-28T04:43:30.993176Z	2022-01-28T04:43:30.993192Z	3.004
Dulu nampak gak divide puak sokong kerajaan puak tak sokong kerajaan. Skang takde divide2 dah. Baik orang bandar or https://t.co/XDVBvZmNvH	80453	Negative	27	2442	2022-01-28T04:43:27.626163Z	2022-01-28T04:43:27.626177Z	1.813
Jika parlimen tidak dipanggil dalam masa 14 hari maka UMNO akan keluar menjadi pembangkang iaitu lebih kurang 4 Jul https://t.co/AvJSf1F8ux	80452	Negative	27	2441	2022-01-28T04:43:25.417268Z	2022-01-28T04:43:25.417282Z	3.477
Kerajaan bodohhhh menyusahkan incompetent semua lahhhhhh	80451	Negative	27	2440	2022-01-28T04:43:21.528487Z	2022-01-28T04:43:21.528500Z	4.046
Orang pacak bendera putih sebab nak tunjuk perlukan bantuan. Takdak kaitan pun dengan politik yang orang politik pa https://t.co/vec8ETTkDS	80450	Negative	27	2439	2022-01-28T04:43:17.078954Z	2022-01-28T04:43:17.078965Z	10.361
"I want yb hannah yeoh for pm. But i know menteri agama will be ""runtuhlah kerajaan jika diperintah oleh wanita"""	80449	Negative	27	2438	2022-01-28T04:43:06.321041Z	2022-01-28T04:43:06.321055Z	2.157
Hari raya kedua saya ada temu janji di Midvalley Southkey Johor Bahru. Alhamdulilah selesai dos pertama. Saya menyeru supaya segenap lapisan masyarakat yang belum mendapat suntikan agar bersedia utk mendapat suntikan &amp; hendaklah berkerja sama sebaik mungkin dengan pihak kerajaan https://t.co/Rm6WluHkkR	80448	Positive	27	2437	2022-01-28T04:43:03.753738Z	2022-01-28T04:43:03.753751Z	2.319
Keputusan Kerajaan untuk jadikan Pahang, Kelantan dan Terengganu ke Fasa 2 Pemulihan sebenarnya adalah tindakan bahaya. Kenapa? #melawanthread	80447	Neutral	27	2436	2022-01-28T04:43:01.031701Z	2022-01-28T04:43:01.031720Z	3.756
@PanasKeria @cupcake_cekelat @hezkyboy @Ameerrosman_ @zamangnii @deeb7800 mana ada sumpah kerajaan	80446	Negative	27	2435	2022-01-28T04:42:56.870520Z	2022-01-28T04:42:56.870533Z	5.071
selamat pagi manusia manusia yang hidup di bawah pemerintahan kerajaan bangsat https://t.co/q0DK16CWHW	80445	Negative	27	2434	2022-01-28T04:42:51.405773Z	2022-01-28T04:42:51.405790Z	1.804
Kerana kerajaan #selangor lah menjadi punca yang menyebabkan rakyat lock down tak habis2.. https://t.co/0zNAE16agK	80444	Negative	27	2433	2022-01-28T04:42:49.206460Z	2022-01-28T04:42:49.206475Z	5.551
Kenyataan Media YB Menteri Kerajaan Tempatan dan Perumahan dan Menteri Kewangan II Negeri Sabah, 5 Jun 2021 Sumber: Jawatankuasa Pengurusan Bencana COVID-19 Negeri Sabah #JaPenSabah #COVID19 #KitaAkanMenang https://t.co/aUSEpSqVpr	80443	Neutral	27	2432	2022-01-28T04:42:43.251796Z	2022-01-28T04:42:43.251813Z	2.493
@SyedAkramin Kerajaan baru pun samalah.	80442	Negative	27	2431	2022-01-28T04:42:40.366369Z	2022-01-28T04:42:40.366383Z	1.691
PAS ni dh lain mcm ek skrg???baru join bersama PN jd kerajaan dh jd cmtu..fewww	80441	Negative	27	2430	2022-01-28T04:42:38.288249Z	2022-01-28T04:42:38.288262Z	0.889
Terhibur tengok tweet orang yg terasa reply berkenaan isu ini . Anda ada sedara mara kerja kerajaan? Usah risau t https://t.co/8c8zycStz3	80440	Negative	27	2429	2022-01-28T04:42:37.007234Z	2022-01-28T04:42:37.007247Z	9.848
@protonian @HRHJohorII Nanti pergi belajar system kat Johor kay. Pejabat Daerah tiada kaitan dengan politik, dioran https://t.co/rHJ4382lTD	80439	Negative	27	2428	2022-01-28T04:42:26.761506Z	2022-01-28T04:42:26.761523Z	3.115
org politik semua anjing	80438	Negative	27	2427	2022-01-28T04:42:23.280849Z	2022-01-28T04:42:23.280862Z	0.855
Nik abduh ni dalam parti sendiri pon buat hal jugak	80437	Negative	27	2426	2022-01-28T04:42:22.053264Z	2022-01-28T04:42:22.053279Z	1.646
Dah la tgh emo, org atas plk duk buat construction lg tambah emo. Bodohlah kerajaan ni	80436	Negative	27	2425	2022-01-28T04:42:20.014059Z	2022-01-28T04:42:20.014071Z	1.742
Kerajaan Sarawak beli lambakan 72 tan nanas di Dalat untuk agihan percuma kepada rakyat https://t.co/EDNLk5wc2i https://t.co/iZ2mE4MLAa	80435	Positive	27	2424	2022-01-28T04:42:17.834961Z	2022-01-28T04:42:17.834980Z	4.636
Tlg jgn ckp org Kedah undi PAS Sbb org Kedah majoriti undi PH masa PRU. PAS jd MB bukan melalui PRU Kita semua tahu.	80434	Negative	27	2423	2022-01-28T04:42:12.810814Z	2022-01-28T04:42:12.810828Z	1.773
@RameshRaoAKS @MacthDeath @NajibRazak @Bossbm17 @bossku_team @BosskuTeam @BNrasmi @Barisansial @umnoonline @presidenumnoazh @pusalamofficial @johor_umno @Farid_alzakry @dapperak @DAPKampungTunku @DapsyDamansara PARIA No 1 KELING PENJILAT LUBANG JUBOR BUSUK MINAH KEPIT PENYAMUN PONDAN PEKAN BAPUK TUA @NajibRazak &amp; ROSMAH IBLIS NASI KANGKANG CIBAI BUSUKYah Allah tolonglah Ohhhhhh Ibbbuuuu Kuuuuuuuu, saya masih KELING HINDU dengan kukuciau hitam 2 inchi https://t.co/fNShnBfbnw	80433	Negative	27	2422	2022-01-28T04:42:10.668872Z	2022-01-28T04:42:10.668885Z	2.784
@beesdots ye la klau balik rumah i pun xnak balik kerja dah, kitaorg khamis ph sbb sarawak day so mood kerja esok mmg kelaut	80432	Negative	27	2421	2022-01-28T04:42:07.450547Z	2022-01-28T04:42:07.450563Z	3.031
@AminuddinKahar boleh dengar jela. kerajaan waknat ni tak fikir apa dah. fikir poket sendiri ja.	80431	Negative	27	2420	2022-01-28T04:42:04.016666Z	2022-01-28T04:42:04.016682Z	1.605
ga ributin masalah sepele, akur trus karena bersatu kita runtuh bercerai kita kawin lagi, canda, bercerai kita ber https://t.co/TOIfjZF3dF	80430	Negative	27	2419	2022-01-28T04:42:02.016497Z	2022-01-28T04:42:02.016511Z	3.292
Tahniah Perlis! Semoga ahli politik seperti ibu mertua Mira Filzah ditendang secepat mungkin https://t.co/epjupnVjxh	80429	Negative	27	2418	2022-01-28T04:41:58.316249Z	2022-01-28T04:41:58.316263Z	6.15
Sebab wujud ahli politik MELAYU tua bodoh nak mampos jaga poket sendiri	80428	Negative	27	2417	2022-01-28T04:41:51.764765Z	2022-01-28T04:41:51.764779Z	1.102
Terima kasih Kerajaan Sarawak atas keperihatinan mengenai kebajikan atlet Sarawak. SUFC amat menghargai usaha dan p https://t.co/uqfxYDuJPy	80427	Positive	27	2416	2022-01-28T04:41:50.270840Z	2022-01-28T04:41:50.270853Z	2.616
Pas + umno= double special punya bodoh	80426	Negative	27	2415	2022-01-28T04:41:47.279014Z	2022-01-28T04:41:47.279026Z	1.038
Sekali lagi keputusan kerajaan tidak berpandaskan kajian saintifik. Varian Delta makin ganas tu. Kalo dah kes naik https://t.co/jwtLXFtSAf	80425	Negative	27	2414	2022-01-28T04:41:45.836900Z	2022-01-28T04:41:45.836915Z	3.461
Sebagai kerajaan, saya bagi jaminan kita tidak menggunakan strategi propaganda yang hanya menceritakan benda baik https://t.co/YSw4XQ3qIZ	80424	Positive	27	2413	2022-01-28T04:41:41.975379Z	2022-01-28T04:41:41.975392Z	5.246
Ahli ekonomi berkata, kredibiliti kerajaan akan tergugat sekiranya masalah ini dibiarkan tanpa penyelesaian. #FMTNews #SOP #PKP https://t.co/ycAiTfsekH	80423	Positive	27	2412	2022-01-28T04:41:36.334746Z	2022-01-28T04:41:36.334759Z	5.33
Arkeolog asal Yerusalem menemukan dua bangunan yang diduga sebagai kerajaan milik raja tersohor dalam sejarah Islam, Kristen, dan Yahudi. Dialah Sang Raja sekaligus Nabi, Daud. https://t.co/nQSdOAF87E	80422	Neutral	27	2411	2022-01-28T04:41:30.630643Z	2022-01-28T04:41:30.630657Z	3.438
@AmirudinShari Salam YAB Dato' @AmirudinShari, tolong pertingkatkan lagi kerjasama antara kerajaan negeri dengan https://t.co/bRETDVtSly	80421	Positive	27	2410	2022-01-28T04:41:26.804566Z	2022-01-28T04:41:26.804581Z	2.62
UMNO Sabah kekal dengan pendirian bersama rakan komponen dan Parti Bersatu Sabah (PBS) untuk mempertahankan Gabunga https://t.co/9qi1V0hAza	80420	Neutral	27	2409	2022-01-28T04:41:23.806986Z	2022-01-28T04:41:23.806998Z	5.482
Rakyat bukan sahaja tengah berperang dengan virus Covid-19, tetapi juga berperang dengan kebodohan kerajaan.	80419	Negative	27	2408	2022-01-28T04:41:17.902289Z	2022-01-28T04:41:17.902303Z	2.019
Salah DAP ni	80418	Negative	27	2407	2022-01-28T04:41:15.391360Z	2022-01-28T04:41:15.391374Z	1.286
PERATUS KEHADIRAN KE PEJABAT PENJAWAT AWAM NEGERI SABAH Sumber : Kenyataan Media Harian Kerajaan Negeri Sabah, 6 Jun 2021 #JaPenSabah #SabahMajuJaya https://t.co/VkySCEP9Bb	80417	Neutral	27	2406	2022-01-28T04:41:13.692443Z	2022-01-28T04:41:13.692457Z	3.215
@SukmawatiIsmail Lagi suka MCA &amp; Gerakan, apabila UMNO bergabung dgn PH, adanya DAP..Parti Dap mnjadi parti berbesa https://t.co/MFrbOd4qs5	80416	Neutral	27	2405	2022-01-28T04:41:10.014263Z	2022-01-28T04:41:10.014291Z	4.721
Izinkan aku pindah keluar dari negara ni. Makin bengap kerajaan ni. Baik bagi Boy Iman jadi PM	80415	Negative	27	2404	2022-01-28T04:41:04.890617Z	2022-01-28T04:41:04.890630Z	1.548
Kahkahkah bersepah akaun may 2021 menyemak konon nak puji tindakan kerajaan. Babi punya cytro main taik la sial	80414	Negative	27	2403	2022-01-28T04:41:02.929520Z	2022-01-28T04:41:02.929534Z	5.052
Sedikit penjelasan mengenai kuasa Negeri-Persekutuan. Kalau baca rencana di bawah, ini adalah cadangan Kerajaan Negeri yang perlu dilaksanakan oleh Persekutuan. Ingat, kuasa untuk kawal pergerakan atas sebab Covid ini adalah bawah Akta 342, bidangkuasa Menteri Kesihatan.	80413	Neutral	27	2402	2022-01-28T04:40:57.472953Z	2022-01-28T04:40:57.472968Z	7.626
Saye bukan kerajaan sarawak, just one of kumis2 kecil yang bangge dgn hasil mcm ni https://t.co/cgHLJQcvw3	80412	Negative	27	2401	2022-01-28T04:40:49.474169Z	2022-01-28T04:40:49.474182Z	1.552
@zack_rockstar Kenali Timbalan Menteri Pertanian 2 Anda! Tak kenal maka tak ingat masa PRU akan datang! Dato Haji Che Abdullah Mat Nawi (PAS), Ahli Parlimen (MP) Tumpat, Kelantan. Ingat nama, muka dan parti! Suwitnya YB! Jeles wanita di luar sana! Tahniah! #KenaliAhliPolitikAnda https://t.co/3FrQHr9prz	80411	Positive	27	2400	2022-01-28T04:40:47.507092Z	2022-01-28T04:40:47.507109Z	6.058
@RajaPetra Jap aku bukan Malay or aku just bukan golongan 90% tu. Sama macam Terengganu please lah umno, aku perc https://t.co/GpwBl3MuGn	80410	Negative	27	2399	2022-01-28T04:40:41.004826Z	2022-01-28T04:40:41.004840Z	5.308
@eekmalahmad Saya paling terkesan, barber X boleh buka, Kedai baju lagi la, Kontrak kerajaan terserlah lupp. Yg Mas https://t.co/CCQeBB0HrF	80409	Negative	27	2398	2022-01-28T04:40:35.291611Z	2022-01-28T04:40:35.291636Z	2.217
kerajaan betul2 buat rakyat mengemis ea??baik dari vaksin smpi bantuan?? oh malaysiaku.. yg penting melayu isle buk https://t.co/bAipuzfVPe	80408	Negative	27	2397	2022-01-28T04:40:32.689305Z	2022-01-28T04:40:32.689319Z	2.141
Bagi la PH balik	80407	Neutral	27	2396	2022-01-28T04:40:30.147843Z	2022-01-28T04:40:30.147857Z	2.291
Jangan pernah putus harapan https://t.co/pkR7xjSq8U	80406	Positive	27	2395	2022-01-28T04:40:27.472851Z	2022-01-28T04:40:27.472864Z	1.768
Politik hospital?? Tapi yang kena MAKI KUTUK sape? Menteri laa apa lagi..lol	80405	Negative	27	2394	2022-01-28T04:40:25.267758Z	2022-01-28T04:40:25.267772Z	1.36
"@brandalsantri45 Rakyat Lemah Harus Bangkit dan bersatu Lawan Penjajah dalam Negeri, atau wis siap"" isap jempol, https://t.co/LFO7DsDU7y"	80404	Negative	27	2393	2022-01-28T04:40:23.481952Z	2022-01-28T04:40:23.481967Z	2.863
Cek faktanya guyss, jangan termakan Hoax. Nusantara Bersatu https://t.co/K7QMjBmx2w	80403	Negative	27	2392	2022-01-28T04:40:20.247713Z	2022-01-28T04:40:20.247728Z	1.457
Pulak.!! Nampak macam hebat sangat PH Selangor ne, Puak PH le yang melalak nak kan sangat Parlimen dibuka. Kenapa https://t.co/h7jgketBfu	80402	Negative	27	2391	2022-01-28T04:40:18.374685Z	2022-01-28T04:40:18.374703Z	1.335
Harap kerajaan mempertimbangkan moratorium kepada penjawat awam yang membuat pinjaman perumahan melalui LPPSA. Ad https://t.co/ff9xdss33N	80401	Positive	27	2390	2022-01-28T04:40:16.620317Z	2022-01-28T04:40:16.620329Z	22.539
PAS mmg Parti Syaithan @DPPMalaysia	80400	Negative	27	2389	2022-01-28T04:39:53.680070Z	2022-01-28T04:39:53.680085Z	2.083
@SyedSaddiq Kerajaan gagal sebab politisyen degil, kepala batu, tak kompeten, tak cerdik, pekak dan buta.	80399	Negative	27	2388	2022-01-28T04:39:51.188608Z	2022-01-28T04:39:51.188621Z	2.129
Get out you PN bn dari kerajaan.bangsat semua gagal.moga raja2 melayu Dan ATM nanti ambil alih Malaysia .jika kes n https://t.co/GDMRm3tjBl	80398	Negative	27	2387	2022-01-28T04:39:48.643146Z	2022-01-28T04:39:48.643164Z	1.898
Sedara nie tak paham kot..Peruntukkan diberi mengikut parlimen titiwangsa...Kalau sedara mengundi kat johor tapi na https://t.co/6u5ph6liSv	80397	Negative	27	2386	2022-01-28T04:39:46.313383Z	2022-01-28T04:39:46.313398Z	2.685
Kan best kalau tak pkp. Boleh main bola. Semua salah kerajaan ketum hm	80396	Negative	27	2385	2022-01-28T04:39:43.237684Z	2022-01-28T04:39:43.237699Z	2.757
"""Dlm perjumpaan saya dgn Menteri Besar, dibentangkn oleh Kerajaan Negeri bahawa kapasiti Selangor adalah 40 ribu se https://t.co/938wFc2Cdg"	80395	Positive	27	2384	2022-01-28T04:39:40.051078Z	2022-01-28T04:39:40.051094Z	9.88
Takde jaminan kalau katak PPBM kalah nanti akan stay Dalam parti terutamanya katak Sabah.	80394	Negative	27	2383	2022-01-28T04:39:29.773513Z	2022-01-28T04:39:29.773528Z	2.025
PAS - Parti Analogi Se Malaysia. segala tiang gol, adik beradik susuan, solat isyak solat subuh. apabenda la.	80393	Negative	27	2382	2022-01-28T04:39:27.364120Z	2022-01-28T04:39:27.364133Z	1.885
Dengar2 Virus Covid variant baru boleh merebak melalui talian internet. Itulah kali alasan kenapa Kongres PKR dimin https://t.co/BvixvtLINQ	80392	Negative	27	2381	2022-01-28T04:39:25.070672Z	2022-01-28T04:39:25.070687Z	2.314
Alhamdulillah, sama2 bantu kerajaan memerangi Covid19, menyelamatkan nyawa rakyat dan memulihkan semula negara. Buk https://t.co/A4uyo9BtXL	80391	Positive	27	2380	2022-01-28T04:39:22.359764Z	2022-01-28T04:39:22.359778Z	2.756
Paham je kenapa tak tutup kilang, mestilah sebab big business, cuma kerajaan kena bagitau mcm ni kt rakyat, tak semua rakyat faham. Setiap tindakan kena ada explaination. Bila org tak faham, org akan riot. So salah sapa, memang salah kerajaan sebab tak kompeten. Sekian	80390	Negative	27	2379	2022-01-28T04:39:19.195697Z	2022-01-28T04:39:19.195715Z	3.312
@KKMPutrajaya Jumlah kes di selangor dgn Negeri shj dah lebih separuh jumlah kes di Malaysia.. sepatutnya kerajaan https://t.co/mnDrdUYB2N	80389	Negative	27	2378	2022-01-28T04:39:15.462379Z	2022-01-28T04:39:15.462394Z	4.717
@UMNO_2021 Tak repot Zahid kepada Lembaga Disiplin Umno ke?	80388	Negative	27	2377	2022-01-28T04:39:10.324508Z	2022-01-28T04:39:10.324524Z	6.435
@LagaCawan Boleh je dorg pusing mcm kat perak..turunkan mb bersatu lantik pm umno..tak dirrrr	80387	Negative	27	2376	2022-01-28T04:39:03.458885Z	2022-01-28T04:39:03.458898Z	4.927
Bayangkan jika kedua Gerakan ini bersatu. Kalian bakalan seperti Kerupuk Kesiram Air !! Seperti es batu dibawah terik matahari !! https://t.co/Uxmpu8d9fL	80386	Negative	27	2375	2022-01-28T04:38:58.125899Z	2022-01-28T04:38:58.125912Z	2.578
@rumillionn1 @youngsyefura Mmg lah umno pgg lg. Aku tak ckp psal parti. Aku cuma ckp psal krjaan pahang buat. Baik https://t.co/2J8b4vtPLS	80385	Negative	27	2374	2022-01-28T04:38:55.169140Z	2022-01-28T04:38:55.169153Z	2.477
syed saddiq posting keluar masuk barang keperluan untuk rakyat, kerajaan banyak posting keluar masuk kereta dorang, lastly no outcome for rakyat, jawatan yg dicari https://t.co/9Oqw4HhXUA	80384	Negative	27	2373	2022-01-28T04:38:52.293989Z	2022-01-28T04:38:52.294003Z	12.132
Bila nak undi angkat bendera parti boleh pulak Bila rakyat nak bantuan angkat bendera putih dilarang Apa nasib dpt https://t.co/uCL91UvsT8	80383	Negative	27	2372	2022-01-28T04:38:39.758000Z	2022-01-28T04:38:39.758013Z	19.615
