TAHUN,STATUS SYARIKAT,AGENSI,NAMA SYARIKAT,NEGERI,ALAMAT SYARIKAT,NO. TEL SYARIKAT,TARIKH PENUBUHAN,MODAL DIBENARKAN,MODAL BERBAYAR,AKTIVITI SYARIKAT,KATEGORI SYARIKAT,SEKTOR
2017,AKTIF-KPI,MARA,UniKL Resources Sdn. Bhd.,Kuala Lumpur,"Universiti Kuala Lumpur 1016, Jalan Sultan Ismail 50250 Kuala Lumpur",03-2175 4000,06/07/2001,"5,000,000.00","5,000,000.00",Khidmat nasihat ,SUB-SUBSIDIARI,PERKHIDMATAN
2017,AKTIF,MARA,Icmic UniKL Academy Sdn. Bhd.,Kuala Lumpur,"Universiti Kuala Lumpur 1016, Jalan Sultan Ismail 50250 Kuala Lumpur",03-2175 4000,02/03/2007,"100,000.00","100,000.00",PENDIDIKAN,SUB-SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,RISDA,RISDA HOLDINGS SDN. BHD.,Selangor,"Graha RISDA Estates, No. 31 Tingkat 7, Jalan Sulaiman 3, Taman Putra Sulaiman, 68000 Ampang, Selangor",03-4270 2369,05/04/2011,"100,000,000.00","25,000,000.00",Menyelaras Syarikat-syarikat Untuk Berkembang Maju dan Berdaya Saing,Subsidiari,Pelaburan
2017,AKTIF-KPI,RISDA,RISDA BINA SDN. BHD.,Selangor," No. 39-3 , Jalan Sulaiman 3, Taman Putra Sulaiman, 68000 Ampang, Selangor",03-4270 6611,26/08/1993,"5,000,000.00","2,020,000.00",Pem. Hartanah,Subsidiari,Hartanah
2017,AKTIF-KPI,RISDA,PERMODALAN RISDA BERHAD,Selangor," No. 5-5D , Wisma Ampang Triangle 1, Jalan Memanda 7/1, Off Jalan Ampang, 68000 Ampang, Selangor",03-4256 3777,15/11/1994,"25,000,000.00","8,400,000.00","Perkhidmatan Pemfaktoran, Pentadbir Dana dan Pemegang Pelaburan",Subsidiari,Pelaburan
2017,AKTIF-KPI,RISDA,KOLEJ RISDA SDN. BHD,Melaka,"Lot 2020, Ayer Pa' Abas, 78000 Alor Gajah, Melaka",06-5529 227,28/11/1994,"25,000,000.00","16,000,000.00","Institut Pengajian Tinggi Swasta, Training Provider kepada Pekebun Kecil",Subsidiari,Pendidikan
2017,AKTIF-KPI,RISDA,PROTAC INSURANCE BROKERS SDN. BHD.,Selangor,"No. 35 Jalan Memanda 7, Ampang Point, 68000 Ampang Selangor",03-4251 1635,23/11/1972,"1,000,000.00","1,000,000.00",Insurance Broker,Subsidiari,Perkhidmatan
2017,AKTIF-KPI,RISDA,RISDA CATERING AND EVENT SDN. BHD.,Kuala Lumpur,"Hevea 5, Tingkat 1, Ibu Pejabat RISDA, Jalan Ampang, 50990 Kuala Lumpur",03-4257 5468,20/03/2015,"1,000,000.00","600,000.00","Perkhidmatan Sajian (Catering), Event Management",Subsidiari,Perkhidmatan
2017,AKTIF-KPI,RISDA,RISDA FLEET SDN. BHD.,Kuala Lumpur,"No. 47, Jalan Kampung Pandan, 56100 Kuala Lumpur",03-9286 0100,18/09/1996,"10,000,000.00","3,000,000.00",Perkhidmatan Pengangkutan Khusus Benih dan Input Pertanian,Subsidiari,Perkhidmatan
2017,AKTIF-KPI,RISDA,RISDA SECURITY AND SERVICES  SDN. BHD.,Selangor,"No. B11, Jalan Ampang Utama 2/2, One Ampang Avenue, Off Jalan Ampang, 68000 Ampang, Selangor",03-4257 6123,22/04/1978,"10,000,000.00","10,000,000.00","Perniagaan Am, Perkhidmatan dan Penyelenggaraan serta Khidmat Kawalan Keselamatan",Subsidiari,Perkhidmatan
2017,AKTIF-KPI,RISDA,RISDA PLANTATION  SDN. BHD,Kuala Lumpur,"Graha RISDA Plantation, Unit J, Exella Business Park, Jalan Ampang Putra, Ampang Hilir, 55100 Kuala Lumpur",03-4270 5104,28/11/1994,"10,000,000.00","10,000,000.00",Mengurus dan Membangunkan Tanah-tanah Pekebun Kecil Disatukan Menjadi Ladang Komersial (TSK),Subsidiari,Perladangan
2017,AKTIF-KPI,RISDA,RISDA SEMAIAN DAN LANDSKAP SDN. BHD.,Selangor,"No. 8, Jalan Wawasan 2/12, Bandar Baru Ampang, 68000 Ampang, Selangor",03-4270 1911,31/07/1979,"15,000,000.00","14,500,000.00","Pembekalan Benih Getah dan Sawit, Pengurusan Ladang Biji Benih Milik RISDA, Pengurusan Senibina Landskap",Subsidiari,Perladangan
2017,AKTIF-KPI,RISDA,RISDA VENTURES SDN. BHD.,Selangor,"Lot E6-1, Jalan Selaman ⅟2, Dataran Palma, Jalan Ampang, 68000 Ampang, Selangor",03-4270 2737,13/11/1978,"10,000,000.00","7,000,000.00",Pembekalan Baja dan Input Pertanian kepada RISDA,Subsidiari,Perladangan
2017,AKTIF-KPI,RISDA,YAYASAN RISDA,Selangor,"Graha RISDA Estates, No. 31, Tingkat 4, Jalan Sulaiman 3, Taman Putra Sulaiman 68000 Ampang, Selangor",03-4070 3066,22/12/2015,,,"Insitusi Sosial yang Menyalurkan Sumbangan dan Bantuan Pelajaran, Bencana alam, Kemajuan keluarga, Sukan dan Biasiswa kepada masyarakat Pekebun Kecil.",Subsidiari,Corporate Social Responsibility (CSR)
2017,AKTIF-KPI,RISDA,RISDA ESTATES SDN. BHD,Selangor,"Graha RISDA Estates, No. 31,  Jalan Sulaiman 3, Taman Putra Sulaiman 68000 Ampang, Selangor",03-4270 4021,11/07/1981,"250,000,000.00","20,000,000.00",Pem. Dan Pengurusan Ladang RISDA Getah dan Sawit,Subsidiari,Perladangan
2017,AKTIF-KPI,RISDA,ESPEK LIVESTOCK SDN. BHD,Selangor,"No. 39-2, Tingkat 2,  Jalan Sulaiman 3, Taman Putra Sulaiman 68000 Ampang, Selangor",03-4270 4021,02/09/1996,"10,000,000.00","5,500,000.00","Ternak dan Jualan Lembu, Kambing dan Produk Berkaitan Ternakan",Sub-Subsidiari,Perladangan
2017,AKTIF-KPI,RISDA,ESPEK PLANTATION SDN. BHD.,Selangor,"Graha ESPEK 2, Tingkat 1, No. 37/1 & 39/1 Jalan Sulaiman 3, Taman Putra Sulaiman 68000 Ampang, Selangor",03-4270 5565,30/06/1998,"25,000,000.00","6,000,000.00",Pem. Dan Pengurusan Ladang Milik RISDA,Sub-Subsidiari,Perladangan
2017,AKTIF,RISDA,PRB GRID TECHNOLOGY SOLUTIONS SDN. BHD.,Selangor," No. 5-5D , Wisma Ampang Triangle 1, Jalan Memanda 7/1, Off Jalan Ampang, 68000 Ampang, Selangor",03-4256 3777,24/09/1996,"5,000,000.00","5,000,000.00",Agen Tunggal Data Centre dan Penjualan Server di Malaysia,Sub-Subsidiari,Perkhidmatan
2017,AKTIF-KPI,SPSB,SINERGI PERDANA SDN BHD,Selangor,"Lot 14, Lebuh Sultan Mohamed 1 Kawasan Perindustrian Bandar Sultan Suleiman 42000 Pelabuhan Klang, Selangor Darul Ehsan",03-3179 0476,03/06/2010,"500,000,000.00","31,959,000.00",PEMBINAAN KILANG BAJA/PERTANIAN,SUBSIDIARI,PERKILANGAN
2017,AKTIF-KPI,SPSB,SINERGI PERDANA MARKETING SDN BHD,Selangor,"A-6-1, Level 6, Block A Mines Waterfront Business Park No. 3, Jalan Tasik, Mines Resort City 43300 Seri Kembangan, Selangor",03-8942 7902,22/02/2007,"1,000,000.00","1,000,000.00",PEMBEKALAN BAJA,SUB-SUBSIDIARI,PERLADANGAN
2017,AKTIF,SPSB,SINERGI PERDANA MANUFACTURING SDN BHD,Selangor,"Lot 14, Lebuh Sultan Mohamed 1 Kawasan Perindustrian Bandar Sultan Suleiman 42000 Pelabuhan Klang, Selangor Darul Ehsan",03-3179 0476,30/01/2014,"400,000.00","100,000.00",PENGILANGAN BAJA,SUB-SUBSIDIARI,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Jaya Mukah Sdn. Bhd.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,13/03/2012,"100,000.00","100,000.00",Kilang Sawit,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Jaya Samarahan Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,13/03/2012,"25,000,000.00","20,000,000.00",Memproses minyak kelapa sawit,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Jaya Harvest Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,29/03/2013,"100,000.00",2.00,Usahasama kilang sawit,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Jayaputra Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,12/06/2013,"50,000,000.00","35,000,000.00",Perladangan dan perkilangan kelapa sawit,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Jaya Marang Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,27/02/2014,"400,000.00",2.00,Memproses minyak sawit mentah,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Jaya Telupid Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,12/05/2014,"10,000,000.00","10,000.00","Pembuatan minyak sawit mentah dan isirong sawit, menanam kelapa sawit dan mengimport mesin",BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Venture Sri Aman Sdn. Bhd.                                                      (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,25/09/2014,"25,000,000.00","10,000,000.00",Pembuatan minyak sawit bertapis,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Legacy Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,08/10/2014,"24,000,000.00","4,000,000.00",Kilang pembuatan minyak sawit bertapis,BERSEKUTU,PERKILANGAN
2017,AKTIF,FELCRA,FELCRA Beras Industri Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"Ibu Pejabat FELCRA Berhad, Aras 6, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,08/01/1999,"500,000.00","392,442.00",Kilang beras,BERSEKUTU,PERKILANGAN
2017,AKTIF,KETENGAH,KETENGAH JAYA SDN.BHD (KJSB),Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,18/01/1978,"5,000,000.00","5,000,001.00",PERLADANGAN KELAPA SAWIT,BERSEKUTU,PERLADANGAN
2017,AKTIF,KETENGAH,KILANG SAWIT PANJI ALAM SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,12/06/1980,"10,000,000.00","10,000,000.00",KILANG MEMPROSES BUAH SAWIT,BERSEKUTU,PERKILANGAN
2017,AKTIF,KETENGAH,LADANG TERNAK TANI SDN BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,31-Mei-85,"5,000,000.00","1,100,000.00",PERLADANGAN KELAPA SAWIT,BERSEKUTU,PERLADANGAN
2017,AKTIF,KETENGAH,LADANG RAKYAT TRENGGANU SDN.BHD,Terengganu,"LADANG RAKYAT TRENGGANU SDN BHD, KOMPLEKS PERLADANGAN CENEH, KM1, JALAN CHERUL, BANDAR CENEH BARU, 24000 KEMAMAN TERENGGANU",09-8730399,02/08/1977,"35,000,000.00","24,579,340.00",PERLADANGAN KELAPA SAWIT,BERSEKUTU,PERLADANGAN
2017,AKTIF,KETENGAH,KILANG SAWIT RAKYAT KETENGAH PERWIRA SDN.BHD,Terengganu,"KAWASAN PERINDUSTRIAN CHERUL, 24000 CHERUL, 2400 CHENEH, TERENGGANU",09-8730112,17/04/1979,"7,000,000.00","7,000,000.00",KILANG MEMPROSES BUAH SAWIT,BERSEKUTU,PERKILANGAN
2017,AKTIF,MARA,Med Bumikar Sdn. Bhd.,,,,12/02/1969,"100,000,000.00","70,000,000.00",syarikat pelaburan induk dan pengedaran kenderaan bermotor,BERSEKUTU,PERKHIDMATAN
2017,AKTIF,MARA,Strand Aerospace (M) Sdn. Bhd.,,,,01/06/2006,"1,000,000.00","1,000,000.00","Penyediaan perkhidmatan structural Design and Stress Analysis kepada industri Aeroangkasa, Pertahanan dan Maritim ",BERSEKUTU,PENDIDIKAN
2017,DORMAN,FELCRA,FELCRA (Cambodia) Pte. Ltd.,Kuala Lumpur,"Aras 1, Wisma FELCRA Lot  PT4780, Jalan Rejang, Setapak Jaya, 53300 KUALA LUMPUR",03-4145 5000,28/11/2011,"3,900,000.00","3,900,000.00",Perladangan di Kemboja & Trading,SUBSIDIARI,PERLADANGAN
2017,DORMAN,FELCRA,FELCRA Grain Industry Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,28/10/2014,"25,000,000.00","10,000,000.00",Aktiviti pertanian,SUBSIDIARI,PERLADANGAN
2017,DORMAN,FELCRA,FELCRA International Venture Private Ltd.,Sabah,"Level 5(I) Main Office Tower, Financia Park Complex, Jalan Merdeka 87000 F.T.Labuan Malaysia",018-2222377,27/05/2014,"3,900,000.00",7.80,Syarikat Luar Persisiran,SUBSIDIARI,PELABURAN
2017,DORMAN,FELCRA,FELCRA Banggi Development Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,05/10/2015,"10,000,000.00",2.00,Projek pembangunan dan sewaan bangunan,SUBSIDIARI,HARTANAH
2017,DORMAN,FELCRA,FELCRA BK Refining Sdn. Bhd. (Syarikat Usahasama),Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,15/09/2014,"20,000,000.00","500,000.00",Kilang pembuatan minyak sawit bertapis,SUBSIDIARI,PERKILANGAN
2017,AKTIF-KPI,KETENGAH,KPSB-NUTRIBIO SDN. BHD.,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,12/01/2009,"100,000.00","100,000.00",PEMBEKALAN BAJA,SUB-SUBSIDIARI,PEMBEKALAN BAJA
2017,DORMAN,MARA,British Malaysia Institute (BMI),,,,12/07/1993,"500,000.00","200,000.00",,SUBSIDIARI,PENDIDIKAN
2017,DORMAN,MARA,Malaysia France Institute Sdn Bhd (MFI),,,,22/02/1995,"100,000.00",2.00,,SUBSIDIARI,PENDIDIKAN
2017,DORMAN,MARA, Institut Infotech MARA Sdn. Bhd. (IIM),,,,19/02/1980,"500,000.00","200,002.00",,SUBSIDIARI,PENDIDIKAN
2017,DORMAN,MARA,Kayu Sedia Sdn . Bhd. (KSSB),,,,26/08/1968,"15,000,000.00","10,730,000.00",,SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,MARA,PMB Nominees Tempatan Sdn. Bhd.,,,,19/02/1979,"100,000.00","10,000.00",Syarikat nomini untuk pengurusan unit amanah dibawah PMB Investment Berhad,SUB-SUBSIDIARI,PELABURAN
2017,DORMAN,RISDA,RISDA WOOD SDN. BHD.,Selangor,"Graha RISDA Estates, No. 31 Tingkat 7, Jalan Sulaiman 3, Taman Putra Sulaiman, 68000 Ampang, Selangor",03-4270 2369,02/09/1996,"10,000,000.00","7,000,000.00",Perniagaan berkaitan Kayu Getah,Subsidiari,Perkhidmatan
2017,DORMAN,RISDA,RISCAM PLANTATIONS CO. LTD.,Selangor,"Graha RISDA Estates, No. 31 Tingkat 7, Jalan Sulaiman 3, Taman Putra Sulaiman, 68000 Ampang, Selangor",03-4270 2369,01/12/2012,,"150,000.00",Pemb. Ladang di Cambodia,Subsidiari,Perladangan
2017,DORMAN,RISDA,MAS & CAM 1 PLANTATIOND CO. LTD.,Selangor,"Graha RISDA Estates, No. 31 Tingkat 7, Jalan Sulaiman 3, Taman Putra Sulaiman, 68000 Ampang, Selangor",03-4270 2369,01/12/2012,,"150,000.00",Pemb. Ladang di Cambodia,Subsidiari,Perladangan


"Sumber : Bahagian Pelaburan dan Kawal Selia Anak Syarikat, KPLB",,,,,,,,,,,,
